单词,总次数,完形,阅读,新题型,翻译,写作,完整试卷,未分类,出现年份
suspect,3,0,2,0,0,0,0,1,"2005,2009"
moods,3,0,2,0,0,0,0,1,"2005,2011"
chicago's,3,0,2,0,0,0,0,1,"2005,2017"
rem,3,0,2,0,0,0,0,1,2005
limbic,3,0,2,0,0,0,0,1,2005
prefrontal,3,0,2,0,0,0,0,1,2005
cortex,3,0,2,0,0,0,0,1,2005
day's,3,0,1,0,0,0,1,1,"2005,2023"
recurring,3,0,1,1,0,0,0,1,"2005,2006"
visualize,3,0,2,0,0,0,0,1,"2005,2007"
insecurity,3,0,2,0,0,0,0,1,"2005,2007"
modified,3,0,1,0,1,0,0,1,"2005,2015"
susceptible,3,0,2,0,0,0,0,1,"2005,2008"
aggravate,3,1,1,0,0,0,0,1,"2005,2011"
persist,3,0,1,0,0,0,1,1,"2005,2014"
waking,3,0,1,0,1,0,0,1,"2005,2006"
dreaming,3,0,2,0,0,0,0,1,"2005,2018"
linguist,3,0,2,0,0,0,0,1,2005
counter-culture,3,0,2,0,0,0,0,1,2005
blaming,3,0,1,1,0,0,0,1,"2005,2010"
regrettable,3,0,2,0,0,0,0,1,"2005,2017"
tone,3,1,1,0,0,0,0,1,"2005,2011"
genre,3,0,1,0,0,0,1,1,"2005,2014"
liveliness,3,0,2,0,0,0,0,1,2005
oral,3,0,1,0,1,0,0,1,"2005,2024"
non-standard,3,0,2,0,0,0,0,1,2005
modesty,3,0,1,0,1,0,0,1,"2005,2008"
admiration,3,0,2,0,0,0,0,1,"2005,2024"
functional,3,1,1,0,0,0,0,1,"2005,2015"
humble,3,0,1,0,0,0,1,1,"2005,2022"
breath,3,0,1,1,0,0,0,1,"2005,2006"
romanow,3,0,0,2,0,0,0,1,2005
kirby,3,0,0,2,0,0,0,1,2005
recommended,3,0,0,2,0,0,0,1,2005
pool,3,0,0,1,0,0,1,1,"2005,2020"
interprovincial,3,0,0,2,0,0,0,1,2005
regrettably,3,0,0,1,0,0,1,1,"2005,2014"
federal-provincial,3,0,0,2,0,0,0,1,2005
hasn't,3,0,1,1,0,0,0,1,"2005,2008"
selectively,3,0,0,1,0,0,1,1,"2005,2022"
assemble,3,0,0,2,0,0,0,1,"2005,2008"
cracking,3,0,1,1,0,0,0,1,"2005,2013"
quebec's,3,0,0,2,0,0,0,1,2005
revenues,3,0,0,2,0,0,0,1,"2005,2006"
costing,3,0,1,1,0,0,0,1,"2005,2007"
duplication,3,0,1,1,0,0,0,1,"2005,2012"
bargain,3,0,1,1,0,0,0,1,"2005,2013"
self-interest,3,0,0,1,1,0,0,1,"2005,2010"
overwhelmingly,3,1,0,0,1,0,0,1,"2005,2019"
impressions,3,0,0,1,1,0,0,1,"2005,2016"
mixture,3,0,0,0,1,0,1,1,"2005,2023"
demonstrates,3,0,1,0,1,0,0,1,"2005,2008"
documentary,3,0,0,0,1,0,1,1,"2005,2023"
investments,3,0,0,0,1,0,1,1,"2005,2014"
peculiarities,3,0,0,0,1,0,1,1,"2005,2020"
agrees,3,1,0,0,0,0,1,1,"2006,2023"
vary,3,1,0,0,0,0,1,1,"2006,2014"
analysts,3,1,1,0,0,0,0,1,"2006,2013"
mentally,3,1,0,0,1,0,0,1,"2006,2016"
reporter,3,1,0,1,0,0,0,1,"2006,2017"
inflating,3,1,0,1,0,0,0,1,"2006,2008"
shelter,3,1,0,0,1,0,0,1,"2006,2013"
wandering,3,1,0,1,0,0,0,1,"2006,2007"
spite,3,0,1,0,0,0,1,1,"2006,2023"
homogenizing,3,0,2,0,0,0,0,1,2006
discourse,3,0,1,1,0,0,0,1,"2006,2015"
elegant,3,0,1,1,0,0,0,1,"2006,2018"
intimate,3,0,2,0,0,0,0,1,2006
catering,3,0,1,1,0,0,0,1,"2006,2010"
homogenization,3,0,2,0,0,0,0,1,2006
fitting,3,0,2,0,0,0,0,1,"2006,2012"
gregory,3,1,1,0,0,0,0,1,"2006,2008"
rodriguez,3,0,2,0,0,0,0,1,2006
indices,3,0,2,0,0,0,0,1,2006
intermarriage,3,0,2,0,0,0,0,1,2006
residence,3,0,2,0,0,0,0,1,"2006,2015"
foreign-born,3,0,2,0,0,0,0,1,2006
remote,3,0,2,0,0,0,0,1,"2006,2010"
superstars,3,0,2,0,0,0,0,1,"2006,2007"
arnold,3,0,2,0,0,0,0,1,2006
schwarzenegger,3,0,2,0,0,0,0,1,2006
garth,3,0,2,0,0,0,0,1,2006
turbulent,3,0,2,0,0,0,0,1,"2006,2011"
dark,3,0,1,0,0,0,1,1,"2006,2022"
owed,3,0,2,0,0,0,0,1,"2006,2019"
avon,3,0,2,0,0,0,0,1,"2006,2011"
tourists,3,0,1,0,0,0,1,1,"2006,2023"
shakespeare's,3,0,1,0,1,0,0,1,"2006,2018"
frankly,3,0,1,0,1,0,0,1,2006
rsc's,3,0,2,0,0,0,0,1,2006
sandals,3,0,2,0,0,0,0,1,2006
ironic,3,1,1,0,0,0,0,1,"2006,2018"
cries,3,0,2,0,0,0,0,1,2006
lounge,3,0,2,0,0,0,0,1,2006
hamlet,3,0,1,0,0,0,1,1,"2006,2020"
lear,3,0,1,0,1,0,0,1,"2006,2016"
attendance,3,0,2,0,0,0,0,1,2006
they'll,3,0,2,0,0,0,0,1,"2006,2013"
stayed,3,0,2,0,0,0,0,1,"2006,2011"
faces,3,0,2,0,0,0,0,1,"2006,2009"
box,3,0,2,0,0,0,0,1,"2006,2010"
separately,3,0,1,1,0,0,0,1,"2006,2009"
deserves,3,0,1,0,0,0,1,1,"2006,2014"
socially,3,0,1,0,0,0,1,1,"2006,2014"
favors,3,0,2,0,0,0,0,1,"2006,2017"
detached,3,0,1,1,0,0,0,1,"2006,2011"
prehistoric,3,0,2,0,0,0,0,1,2006
slow-growing,3,0,2,0,0,0,0,1,2006
hunted,3,0,2,0,0,0,0,1,"2006,2011"
extinction,3,0,2,0,0,0,0,1,2006
fishery,3,0,2,0,0,0,0,1,2006
prey,3,0,1,0,1,0,0,1,"2006,2010"
sharks,3,0,2,0,0,0,0,1,2006
shifting,3,0,2,0,0,0,0,1,"2006,2018"
outlive,3,0,2,0,0,0,0,1,"2006,2007"
expressing,3,0,1,0,1,0,0,1,"2006,2008"
wordsworth's,3,0,2,0,0,0,0,1,"2006,2009"
eras,3,0,2,0,0,0,0,1,"2006,2018"
bummer,3,0,2,0,0,0,0,1,2006
eaters,3,0,1,0,1,0,0,1,"2006,2024"
lure,3,0,1,1,0,0,0,1,2006
wallets,3,0,2,0,0,0,0,1,"2006,2019"
celebrate,3,0,1,1,0,0,0,1,"2006,2012"
forgetting,3,0,1,0,0,0,1,1,"2006,2014"
citing,3,0,1,1,0,0,0,1,"2006,2010"
wordsworth,3,0,2,0,0,0,0,1,"2006,2009"
sadness,3,1,1,0,0,0,0,1,"2006,2011"
distasteful,3,0,2,0,0,0,0,1,"2006,2017"
refreshing,3,0,2,0,0,0,0,1,"2006,2016"
ohio,3,0,1,1,0,0,0,1,"2006,2019"
earning,3,0,0,1,0,0,1,1,"2006,2022"
approximately,3,0,0,2,0,0,0,1,"2006,2008"
visited,3,0,0,1,0,0,1,1,"2006,2023"
card,3,0,0,2,0,0,0,1,2006
slot,3,0,0,2,0,0,0,1,2006
boat,3,0,1,1,0,0,0,1,"2006,2024"
addictions,3,0,0,2,0,0,0,1,2006
demonstrating,3,1,0,1,0,0,0,1,"2006,2018"
bet,3,0,0,2,0,0,0,1,2006
charges,3,0,1,1,0,0,0,1,"2006,2019"
akin,3,0,1,1,0,0,0,1,"2006,2024"
casinos,3,0,0,2,0,0,0,1,2006
compulsive,3,0,0,2,0,0,0,1,2006
lonely,3,0,1,1,0,0,0,1,"2006,2024"
pleads,3,0,1,0,1,0,0,1,"2006,2012"
analogous,3,0,0,0,1,0,1,1,"2006,2022"
referred,3,0,0,0,1,0,1,1,"2006,2020"
excluded,3,0,0,0,1,0,1,1,"2006,2014"
cook,3,0,0,0,1,1,0,1,"2006,2017"
businessman,3,0,0,0,2,0,0,1,2006
energies,3,0,1,0,1,0,0,1,"2006,2024"
teach,3,0,0,1,1,0,0,1,"2006,2011"
iberian,3,1,0,0,0,0,1,1,"2007,2022"
sovereign,3,1,1,0,0,0,0,1,"2007,2017"
catholicism,3,2,0,0,0,0,0,1,2007
egalitarian,3,2,0,0,0,0,0,1,2007
liberated,3,1,0,0,1,0,0,1,"2007,2013"
natives,3,1,1,0,0,0,0,1,"2007,2018"
incidentally,3,2,0,0,0,0,0,1,"2007,2019"
cry,3,2,0,0,0,0,0,1,"2007,2011"
slower,3,2,0,0,0,0,0,1,"2007,2015"
tougher,3,1,1,0,0,0,0,1,"2007,2015"
teams,3,0,2,0,0,0,0,1,2007
guesses,3,0,1,0,0,0,1,1,"2007,2023"
oxygen,3,1,1,0,0,0,0,1,"2007,2011"
conceive,3,0,2,0,0,0,0,1,"2007,2013"
mania,3,0,2,0,0,0,0,1,2007
engineering,3,0,2,0,0,0,0,1,"2007,2018"
repeat,3,0,2,0,0,0,0,1,2007
memorizing,3,0,2,0,0,0,0,1,"2007,2018"
obtaining,3,0,1,0,0,0,1,1,"2007,2022"
biographical,3,0,2,0,0,0,0,1,2007
assertion,3,0,2,0,0,0,0,1,"2007,2013"
programming,3,0,2,0,0,0,0,1,"2007,2019"
excitement,3,0,1,0,0,0,1,1,"2007,2022"
excellent,3,0,2,0,0,0,0,1,"2007,2013"
column,3,0,1,0,1,0,0,1,"2007,2019"
marilyn,3,0,2,0,0,0,0,1,2007
numerical,3,0,2,0,0,0,0,1,2007
specified,3,0,1,0,0,0,1,1,"2007,2022"
genetics,3,1,1,0,0,0,0,1,"2007,2015"
sternberg,3,0,2,0,0,0,0,1,2007
analytical,3,0,2,0,0,0,0,1,2007
populations,3,0,1,1,0,0,0,1,"2007,2010"
negatively,3,0,1,0,0,0,1,1,"2007,2023"
correlated,3,0,2,0,0,0,0,1,2007
skip,3,0,1,0,0,0,1,1,"2007,2014"
answering,3,0,2,0,0,0,0,1,"2007,2017"
philosophical,3,0,1,0,0,0,1,1,"2007,2014"
folding,3,1,1,0,0,0,0,1,"2007,2016"
shapes,3,1,1,0,0,0,0,1,"2007,2012"
versions,3,0,1,1,0,0,0,1,"2007,2008"
setback,3,0,1,1,0,0,0,1,2007
earner,3,0,2,0,0,0,0,1,2007
disability,3,0,2,0,0,0,0,1,2007
retirees,3,0,2,0,0,0,0,1,"2007,2018"
trading,3,0,2,0,0,0,0,1,"2007,2019"
borne,3,0,1,0,1,0,0,1,"2007,2012"
health-savings,3,0,2,0,0,0,0,1,2007
spreading,3,0,1,1,0,0,0,1,"2007,2010"
dose,3,0,2,0,0,0,0,1,"2007,2008"
fallout,3,0,2,0,0,0,0,1,2007
popularize,3,1,1,0,0,0,0,1,"2007,2008"
ruins,3,0,1,0,0,0,1,1,"2007,2023"
rains,3,0,2,0,0,0,0,1,2007
pours,3,0,2,0,0,0,0,1,2007
compliance,3,0,2,0,0,0,0,1,"2007,2016"
feeble,3,0,2,0,0,0,0,1,2007
governance,3,0,2,0,0,0,0,1,"2007,2017"
gasp,3,0,2,0,0,0,0,1,2007
noam,3,0,1,0,1,0,0,1,"2007,2012"
mystery,3,0,1,0,0,0,1,1,"2007,2020"
theft,3,0,1,1,0,0,0,1,"2007,2024"
overshadowed,3,0,2,0,0,0,0,1,"2007,2016"
stolen,3,0,1,1,0,0,0,1,"2007,2024"
spies,3,0,1,0,0,0,1,1,"2007,2022"
headings,3,0,0,2,0,0,0,1,2007
heading,3,0,0,1,0,0,1,1,"2007,2023"
strengths,3,0,0,1,0,0,1,1,"2007,2014"
communicating,3,0,0,1,0,0,1,1,"2007,2022"
gratification,3,0,1,1,0,0,0,1,"2007,2011"
managing,3,0,0,1,1,0,0,1,"2007,2016"
watching,3,0,1,1,0,0,0,1,"2007,2013"
listening,3,0,0,1,0,0,1,1,"2007,2020"
conceived,3,0,0,2,0,0,0,1,"2007,2015"
forge,3,0,1,0,1,0,0,1,"2007,2024"
journalistic,3,0,1,0,1,0,0,1,"2007,2010"
sharpening,3,0,0,1,1,0,0,1,"2007,2008"
dare,3,1,1,0,0,0,0,1,"2008,2012"
cochran,3,2,0,0,0,0,0,1,2008
bird,3,1,0,1,0,0,0,1,"2008,2012"
infections,3,1,1,0,0,0,0,1,2008
pleased,3,1,1,0,0,0,0,1,"2008,2019"
rare,3,1,1,0,0,0,0,1,"2008,2017"
calculating,3,1,1,0,0,0,0,1,"2008,2019"
unconsciously,3,1,1,0,0,0,0,1,"2008,2012"
missions,3,2,0,0,0,0,0,1,"2008,2015"
directed,3,1,0,0,0,0,1,1,"2008,2022"
paradoxical,3,1,1,0,0,0,0,1,"2008,2009"
psychiatrist,3,0,2,0,0,0,0,1,"2008,2024"
hormones,3,0,1,0,0,0,1,1,"2008,2022"
rats,3,0,1,0,1,0,0,1,"2008,2024"
tolerating,3,0,2,0,0,0,0,1,2008
combat,3,0,2,0,0,0,0,1,"2008,2013"
struggled,3,0,2,0,0,0,0,1,"2008,2019"
hardest,3,0,1,1,0,0,0,1,"2008,2012"
rent,3,0,1,0,0,0,1,1,"2008,2023"
alvarez's,3,0,2,0,0,0,0,1,2008
diffuse,3,0,2,0,0,0,0,1,"2008,2016"
biologically,3,1,1,0,0,0,0,1,"2008,2015"
trivial,3,0,2,0,0,0,0,1,"2008,2015"
practically,3,0,2,0,0,0,0,1,"2008,2011"
remove,3,0,1,0,0,0,1,1,"2008,2023"
rested,3,0,2,0,0,0,0,1,"2008,2017"
government-hnded,3,0,2,0,0,0,0,1,2008
restricting,3,0,1,0,0,0,1,1,"2008,2023"
handsome,3,0,1,0,0,0,1,1,"2008,2014"
scholarly,3,0,1,1,0,0,0,1,"2008,2013"
report's,3,0,1,0,0,0,1,1,"2008,2014"
upsets,3,0,2,0,0,0,0,1,"2008,2015"
emphasizes,3,0,2,0,0,0,0,1,"2008,2009"
facilitates,3,0,2,0,0,0,0,1,"2008,2016"
channel,3,0,1,0,0,0,1,1,"2008,2014"
rendered,3,0,1,0,0,0,1,1,"2008,2020"
wilt,3,0,2,0,0,0,0,1,2008
chamberlain,3,0,2,0,0,0,0,1,2008
basketball,3,0,2,0,0,0,0,1,2008
feet,3,0,2,0,0,0,0,1,2008
obscuring,3,0,1,0,0,0,1,1,"2008,2014"
wright,3,0,1,0,0,0,1,1,"2008,2020"
posture,3,0,2,0,0,0,0,1,2008
imposed,3,0,2,0,0,0,0,1,"2008,2019"
gordon,3,0,2,0,0,0,0,1,2008
recruits,3,0,2,0,0,0,0,1,"2008,2012"
hture,3,0,2,0,0,0,0,1,2008
modification,3,0,2,0,0,0,0,1,"2008,2012"
garment,3,0,2,0,0,0,0,1,"2008,2013"
reconsider,3,0,2,0,0,0,0,1,"2008,2010"
unchanged,3,1,1,0,0,0,0,1,"2008,2019"
hired,3,0,2,0,0,0,0,1,"2008,2015"
transplant,3,0,1,0,1,0,0,1,"2008,2015"
nine,3,0,1,1,0,0,0,1,"2008,2011"
teeth,3,1,1,0,0,0,0,1,"2008,2011"
mouths,3,1,1,0,0,0,0,1,"2008,2011"
hemings,3,0,0,2,0,0,0,1,2008
congressional,3,0,0,1,0,0,1,1,"2008,2014"
votes,3,0,1,1,0,0,0,1,"2008,2012"
carved,3,0,0,2,0,0,0,1,"2008,2018"
relatives,3,0,1,1,0,0,0,1,"2008,2009"
washington's,3,0,0,2,0,0,0,1,2008
stained,3,0,0,2,0,0,0,1,"2008,2018"
savings,3,0,0,1,1,0,0,1,"2008,2019"
outline,3,0,0,2,0,0,0,1,2008
permit,3,0,0,1,0,0,1,1,"2008,2022"
revise,3,0,1,1,0,0,0,1,"2008,2012"
commands,3,0,0,2,0,0,0,1,"2008,2018"
sammy,3,0,0,2,0,0,0,1,2008
rewrite,3,0,0,1,0,0,1,1,"2008,2023"
transitions,3,0,0,2,0,0,0,1,"2008,2016"
shape,3,0,0,2,0,0,0,1,"2008,2012"
adequately,3,0,1,1,0,0,0,1,"2008,2012"
lengel's,3,0,0,2,0,0,0,1,2008
autobiography,3,0,1,0,1,0,0,1,"2008,2010"
extraordinary,3,0,0,0,2,0,0,1,"2008,2018"
lon,3,0,0,0,2,0,0,1,2008
eve,3,0,1,0,1,0,0,1,"2008,2010"
observations,3,0,0,0,1,0,1,1,"2008,2023"
possession,3,0,1,0,1,0,0,1,"2008,2018"
ower,3,0,0,0,2,0,0,1,2008
observer,3,0,1,0,1,0,0,1,"2008,2012"
submits,3,1,0,0,1,0,0,1,"2008,2013"
su,3,0,0,0,1,0,1,1,"2008,2020"
thin,3,0,0,0,1,0,1,1,"2008,2020"
tastes,3,0,1,0,1,0,0,1,"2008,2010"
fruit,3,2,0,0,0,0,0,1,2009
fuel,3,1,0,0,1,0,0,1,"2009,2015"
they've,3,1,1,0,0,0,0,1,"2009,2019"
glance,3,2,0,0,0,0,0,1,"2009,2013"
cat,3,1,0,0,1,0,0,1,"2009,2024"
ran,3,1,1,0,0,0,0,1,"2009,2013"
thinner,3,1,0,1,0,0,0,1,"2009,2012"
lighter,3,1,1,0,0,0,0,1,"2009,2019"
inclination,3,1,0,1,0,0,0,1,"2009,2010"
relaxing,3,0,2,0,0,0,0,1,2009
ruts,3,0,2,0,0,0,0,1,2009
dawna,3,0,2,0,0,0,0,1,2009
markova,3,0,2,0,0,0,0,1,2009
procedurally,3,0,1,0,0,0,1,1,"2009,2022"
ryan,3,0,1,0,0,0,1,1,"2009,2023"
fosters,3,0,1,0,0,0,1,1,"2009,2023"
commonness,3,0,2,0,0,0,0,1,2009
excellence,3,0,1,0,0,0,1,1,"2009,2014"
innovativeness,3,0,2,0,0,0,0,1,"2009,2012"
decisiveness,3,0,2,0,0,0,0,1,"2009,2019"
prevents,3,0,1,0,0,0,1,1,"2009,2014"
complies,3,0,2,0,0,0,0,1,"2009,2010"
paternal,3,0,1,1,0,0,0,1,"2009,2017"
confirm,3,1,1,0,0,0,0,1,"2009,2012"
he's,3,0,2,0,0,0,0,1,"2009,2024"
paternity,3,0,2,0,0,0,0,1,2009
ptk,3,0,2,0,0,0,0,1,2009
purchased,3,0,1,1,0,0,0,1,"2009,2024"
dozen,3,0,1,0,0,0,1,1,"2009,2022"
family's,3,0,1,1,0,0,0,1,"2009,2017"
geographic,3,0,1,0,1,0,0,1,"2009,2015"
mouth,3,0,1,0,0,0,1,1,"2009,2020"
false,3,0,1,0,0,0,1,1,"2009,2022"
sociologist,3,0,1,1,0,0,0,1,2009
patented,3,0,2,0,0,0,0,1,"2009,2010"
pricing,3,0,2,0,0,0,0,1,"2009,2013"
rebuild,3,0,1,0,0,0,1,1,"2009,2022"
overlapping,3,0,1,1,0,0,0,1,"2009,2015"
undoubtedly,3,0,2,0,0,0,0,1,"2009,2015"
fortunate,3,0,1,0,0,0,1,1,"2009,2020"
recession,3,0,1,1,0,0,0,1,"2009,2010"
leader,3,0,2,0,0,0,0,1,"2009,2012"
industry's,3,0,2,0,0,0,0,1,"2009,2016"
gatherers,3,0,2,0,0,0,0,1,"2009,2024"
substantially,3,0,1,0,0,0,1,1,"2009,2020"
groundless,3,0,2,0,0,0,0,1,"2009,2018"
overestimated,3,0,2,0,0,0,0,1,"2009,2016"
quotes,3,0,2,0,0,0,0,1,"2009,2019"
hungry,3,0,1,1,0,0,0,1,"2009,2010"
seventeenth-century,3,0,2,0,0,0,0,1,2009
colonial,3,0,1,0,1,0,0,1,"2009,2015"
puritans,3,0,2,0,0,0,0,1,2009
churches,3,0,2,0,0,0,0,1,2009
gentleman,3,0,1,1,0,0,0,1,"2009,2017"
farmers,3,0,2,0,0,0,0,1,"2009,2024"
analyzed,3,0,1,0,0,0,1,1,"2009,2022"
sexual,3,0,1,0,1,0,0,1,"2009,2012"
bible,3,0,2,0,0,0,0,1,2009
sermons,3,0,2,0,0,0,0,1,2009
commitments,3,0,2,0,0,0,0,1,"2009,2012"
folk,3,0,1,0,1,0,0,1,"2009,2015"
coast,3,0,1,1,0,0,0,1,"2009,2017"
comparatively,3,0,2,0,0,0,0,1,"2009,2011"
well-educated,3,0,2,0,0,0,0,1,"2009,2012"
earnings,3,0,1,0,0,0,1,1,"2009,2022"
spencer,3,0,0,2,0,0,0,1,2009
advancing,3,0,0,1,0,0,1,1,"2009,2022"
morgan,3,0,0,2,0,0,0,1,2009
diffusionism,3,0,0,2,0,0,0,1,2009
durkheim,3,0,0,2,0,0,0,1,2009
theme,3,0,0,1,1,0,0,1,"2009,2011"
races,3,0,0,2,0,0,0,1,2009
stronger,3,0,1,1,0,0,0,1,"2009,2019"
rituals,3,0,0,1,1,0,0,1,"2009,2012"
formally,3,1,0,1,0,0,0,1,"2009,2019"
pottery,3,0,0,1,0,0,1,1,"2009,2014"
educating,3,0,1,0,1,0,0,1,"2009,2018"
motive,3,0,1,0,1,0,0,1,"2009,2019"
etc,3,1,0,0,1,0,0,1,"2009,2018"
disposition,3,0,0,0,1,0,1,1,"2009,2020"
evident,3,0,0,0,2,0,0,1,"2009,2012"
realizing,3,0,1,0,1,0,0,1,"2009,2012"
dealings,3,0,0,0,1,0,1,1,"2009,2023"
hoped,3,1,1,0,0,0,0,1,"2010,2011"
experimented,3,2,0,0,0,0,0,1,2010
arose,3,1,0,0,1,0,0,1,"2010,2012"
monday,3,1,1,0,0,0,0,1,"2010,2013"
saturday,3,1,1,0,0,0,0,1,"2010,2018"
diligent,3,1,0,0,0,0,1,1,"2010,2022"
consistent,3,1,1,0,0,0,0,1,"2010,2017"
english-language,3,0,2,0,0,0,0,1,2010
high-quality,3,0,2,0,0,0,0,1,2010
consisted,3,0,1,0,0,0,1,1,"2010,2022"
dailies,3,0,2,0,0,0,0,1,2010
newsprint,3,0,2,0,0,0,0,1,"2010,2016"
dirt-cheap,3,0,2,0,0,0,0,1,"2010,2013"
shaw,3,0,2,0,0,0,0,1,2010
cardus,3,0,2,0,0,0,0,1,2010
guardian,3,1,1,0,0,0,0,1,"2010,2012"
specialists,3,0,2,0,0,0,0,1,2010
prose,3,0,1,1,0,0,0,1,"2010,2017"
viewpoints,3,0,2,0,0,0,0,1,"2010,2018"
dennis,3,0,2,0,0,0,0,1,"2010,2011"
about-face,3,0,2,0,0,0,0,1,2010
exclusive,3,0,1,0,0,0,1,1,"2010,2014"
beat,3,0,1,0,0,0,1,1,"2010,2020"
granting,3,0,2,0,0,0,0,1,2010
upheld,3,0,1,0,0,0,1,1,"2010,2020"
dismissed,3,1,1,0,0,0,0,1,"2010,2012"
tipping,3,0,1,1,0,0,0,1,2010
unusually,3,0,0,1,0,0,1,1,"2010,2014"
persuasive,3,0,1,1,0,0,0,1,"2010,2012"
two-step,3,0,0,2,0,0,0,1,2010
observation,3,0,1,1,0,0,0,1,"2010,2024"
two-step-flow,3,0,0,2,0,0,0,1,2010
influencing,3,0,0,1,0,0,1,1,"2010,2023"
epidemic,3,0,1,1,0,0,0,1,"2010,2013"
cascade,3,0,0,1,0,0,1,1,"2010,2020"
relating,3,0,0,2,0,0,0,1,"2010,2024"
principal,3,0,0,1,1,0,0,1,"2010,2015"
validity,3,0,0,2,0,0,0,1,"2010,2015"
fetch,3,1,0,1,0,0,0,1,"2010,2011"
compromised,3,1,0,1,0,0,0,1,"2010,2012"
toxic,3,0,0,2,0,0,0,1,2010
encounter,3,0,0,1,0,0,1,1,"2010,2022"
rushed,3,0,1,1,0,0,0,1,"2010,2024"
charlie,3,0,0,1,0,0,1,1,"2010,2023"
mccreevy,3,0,0,2,0,0,0,1,2010
booking,3,0,0,2,0,0,0,1,2010
unfavorable,3,0,1,1,0,0,0,1,"2010,2019"
misinterpreted,3,0,1,1,0,0,0,1,"2010,2017"
purse,3,0,1,1,0,0,0,1,"2010,2015"
grocery,3,0,0,2,0,0,0,1,2010
backyard,3,0,0,2,0,0,0,1,"2010,2017"
intricacies,3,0,0,2,0,0,0,1,2010
inspection,3,0,1,1,0,0,0,1,"2010,2012"
italy,3,0,0,2,0,0,0,1,2010
cater,3,0,0,1,0,0,1,1,"2010,2023"
fragmented,3,0,0,2,0,0,0,1,"2010,2016"
wholesalers,3,0,0,2,0,0,0,1,2010
consolidate,3,0,0,1,0,0,1,1,"2010,2020"
biotic,3,0,0,0,2,0,0,1,2010
invent,3,0,1,0,1,0,0,1,"2010,2018"
rescue,3,0,1,0,1,0,0,1,"2010,2016"
killing,3,0,1,0,1,0,0,1,"2010,2011"
constituent,3,0,0,1,1,0,0,1,"2010,2012"
flora,3,0,0,0,1,0,1,1,"2010,2023"
fauna,3,0,0,0,1,0,1,1,"2010,2023"
volunteers,3,1,0,0,0,1,0,1,"2010,2011"
applicants,3,1,0,0,0,1,0,1,"2010,2013"
aristotle,3,1,0,0,1,0,0,1,"2011,2012"
bodily,3,2,0,0,0,0,0,1,2011
walking,3,1,0,0,0,0,1,1,"2011,2014"
muscle,3,1,0,0,0,0,1,1,"2011,2014"
partially,3,1,0,0,0,0,1,1,"2011,2020"
psychologist,3,1,0,0,0,0,1,1,"2011,2020"
stabilizing,3,1,0,0,0,0,1,1,"2011,2022"
weakens,3,1,1,0,0,0,0,1,"2011,2024"
subconscious,3,1,1,0,0,0,0,1,2011
conductor,3,0,2,0,0,0,0,1,2011
musicians,3,0,2,0,0,0,0,1,2011
hall,3,0,1,0,0,0,1,1,"2011,2022"
concertgoers,3,0,2,0,0,0,0,1,2011
hopes,3,0,2,0,0,0,0,1,"2011,2017"
regards,3,0,2,0,0,0,0,1,"2011,2016"
inferior,3,1,1,0,0,0,0,1,"2011,2017"
doubtful,3,0,1,1,0,0,0,1,"2011,2013"
aspirations,3,0,1,0,0,0,1,1,"2011,2020"
shareholder,3,0,2,0,0,0,0,1,"2011,2015"
reputations,3,0,2,0,0,0,0,1,2011
deputy,3,0,1,0,0,0,1,1,"2011,2023"
abound,3,0,2,0,0,0,0,1,"2011,2012"
poached,3,0,2,0,0,0,0,1,2011
ambitions,3,0,1,0,1,0,0,1,"2011,2018"
disgrace,3,0,2,0,0,0,0,1,"2011,2015"
fundamentally,3,0,2,0,0,0,0,1,"2011,2018"
who've,3,0,2,0,0,0,0,1,2011
departure,3,0,1,0,0,0,1,1,"2011,2020"
strained,3,0,1,0,0,0,1,1,"2011,2023"
loyalty,3,0,2,0,0,0,0,1,"2011,2019"
exploit,3,1,1,0,0,0,0,1,"2011,2012"
registered,3,0,1,0,0,0,1,1,"2011,2020"
retailer,3,0,1,0,0,0,1,1,"2011,2023"
airlines,3,0,2,0,0,0,0,1,"2011,2017"
generating,3,0,2,0,0,0,0,1,"2011,2019"
damaging,3,0,1,0,0,0,1,1,"2011,2014"
steep,3,0,2,0,0,0,0,1,"2011,2017"
favorite,3,0,1,0,0,1,0,1,2011
boycotting,3,0,1,0,0,0,1,1,"2011,2023"
fulfilling,3,0,2,0,0,0,0,1,"2011,2017"
newsstands,3,0,2,0,0,0,0,1,2011
morn,3,0,2,0,0,0,0,1,2011
bullock,3,0,2,0,0,0,0,1,2011
aniston,3,0,2,0,0,0,0,1,2011
pregnant,3,0,2,0,0,0,0,1,2011
regret,3,0,1,0,0,0,1,1,"2011,2020"
regrets,3,0,2,0,0,0,0,1,2011
provoked,3,0,2,0,0,0,0,1,"2011,2012"
parenthood,3,0,2,0,0,0,0,1,2011
couples,3,1,1,0,0,0,0,1,"2011,2016"
kid,3,0,2,0,0,0,0,1,2011
cake,3,0,1,0,0,0,1,1,"2011,2022"
enjoyment,3,0,1,0,0,0,1,1,"2011,2020"
professionalism,3,0,0,2,0,0,0,1,2011
awarded,3,0,0,1,0,0,1,1,"2011,2020"
bachelor's,3,0,0,1,0,0,1,1,"2011,2014"
liberal-arts,3,0,0,2,0,0,0,1,2011
qualification,3,0,0,1,0,0,1,1,"2011,2020"
grants,3,1,0,1,0,0,0,1,"2011,2013"
